"Date","Sales","Type"
2010-02-05,1643690.9,"Actual"
2010-02-12,1641957.44,"Actual"
2010-02-19,1611968.17,"Actual"
2010-02-26,1409727.59,"Actual"
2010-03-05,1554806.68,"Actual"
2010-03-12,1439541.59,"Actual"
2010-03-19,1472515.79,"Actual"
2010-03-26,1404429.92,"Actual"
2010-04-02,1594968.28,"Actual"
2010-04-09,1545418.53,"Actual"
2010-04-16,1466058.28,"Actual"
2010-04-23,1391256.12,"Actual"
2010-04-30,1425100.71,"Actual"
2010-05-07,1603955.12,"Actual"
2010-05-14,1494251.5,"Actual"
2010-05-21,1399662.07,"Actual"
2010-05-28,1432069.95,"Actual"
2010-06-04,1615524.71,"Actual"
2010-06-11,1542561.09,"Actual"
2010-06-18,1503284.06,"Actual"
2010-06-25,1422711.6,"Actual"
2010-07-02,1492418.14,"Actual"
2010-07-09,1546074.18,"Actual"
2010-07-16,1448938.92,"Actual"
2010-07-23,1385065.2,"Actual"
2010-07-30,1371986.6,"Actual"
2010-08-06,1605491.78,"Actual"
2010-08-13,1508237.76,"Actual"
2010-08-20,1513080.49,"Actual"
2010-08-27,1449142.92,"Actual"
2010-09-03,1540163.53,"Actual"
2010-09-10,1507460.69,"Actual"
2010-09-17,1430378.67,"Actual"
2010-09-24,1351791.03,"Actual"
2010-10-01,1453329.5,"Actual"
2010-10-08,1508239.93,"Actual"
2010-10-15,1459409.1,"Actual"
2010-10-22,1345454,"Actual"
2010-10-29,1384209.22,"Actual"
2010-11-05,1551659.28,"Actual"
2010-11-12,1494479.49,"Actual"
2010-11-19,1483784.18,"Actual"
2010-11-26,1955624.11,"Actual"
2010-12-03,1548033.78,"Actual"
2010-12-10,1682614.26,"Actual"
2010-12-17,1891034.93,"Actual"
2010-12-24,2387950.2,"Actual"
2010-12-31,1367320.01,"Actual"
2011-01-07,1444732.28,"Actual"
2011-01-14,1391013.96,"Actual"
2011-01-21,1327405.42,"Actual"
2011-01-28,1316899.31,"Actual"
2011-02-04,1606629.58,"Actual"
2011-02-11,1649614.93,"Actual"
2011-02-18,1686842.78,"Actual"
2011-02-25,1456800.28,"Actual"
2011-03-04,1636263.41,"Actual"
2011-03-11,1553191.63,"Actual"
2011-03-18,1576818.06,"Actual"
2011-03-25,1541102.38,"Actual"
2011-04-01,1495064.75,"Actual"
2011-04-08,1614259.35,"Actual"
2011-04-15,1559889,"Actual"
2011-04-22,1564819.81,"Actual"
2011-04-29,1455090.69,"Actual"
2011-05-06,1629391.28,"Actual"
2011-05-13,1604775.58,"Actual"
2011-05-20,1428218.27,"Actual"
2011-05-27,1466046.67,"Actual"
2011-06-03,1635078.41,"Actual"
2011-06-10,1588948.32,"Actual"
2011-06-17,1532114.86,"Actual"
2011-06-24,1438830.15,"Actual"
2011-07-01,1488538.09,"Actual"
2011-07-08,1534849.64,"Actual"
2011-07-15,1455119.97,"Actual"
2011-07-22,1396926.82,"Actual"
2011-07-29,1352219.79,"Actual"
2011-08-05,1624383.75,"Actual"
2011-08-12,1525147.09,"Actual"
2011-08-19,1530761.43,"Actual"
2011-08-26,1464693.46,"Actual"
2011-09-02,1550229.22,"Actual"
2011-09-09,1540471.24,"Actual"
2011-09-16,1514259.78,"Actual"
2011-09-23,1380020.27,"Actual"
2011-09-30,1394561.83,"Actual"
2011-10-07,1630989.95,"Actual"
2011-10-14,1493525.93,"Actual"
2011-10-21,1502562.78,"Actual"
2011-10-28,1445249.09,"Actual"
2011-11-04,1697229.58,"Actual"
2011-11-11,1594938.89,"Actual"
2011-11-18,1539483.7,"Actual"
2011-11-25,2033320.66,"Actual"
2011-12-02,1584083.95,"Actual"
2011-12-09,1799682.38,"Actual"
2011-12-16,1881176.67,"Actual"
2011-12-23,2270188.99,"Actual"
2011-12-30,1497462.72,"Actual"
2012-01-06,1550369.92,"Actual"
2012-01-13,1459601.17,"Actual"
2012-01-20,1394393.84,"Actual"
2012-01-27,1319325.59,"Actual"
2012-02-03,1636339.65,"Actual"
2012-02-10,1802477.43,"Actual"
2012-02-17,1819870,"Actual"
2012-02-24,1539387.83,"Actual"
2012-03-02,1688420.76,"Actual"
2012-03-09,1675431.16,"Actual"
2012-03-16,1677472.78,"Actual"
2012-03-23,1511068.07,"Actual"
2012-03-30,1649604.63,"Actual"
2012-04-06,1899676.88,"Actual"
2012-04-13,1621031.7,"Actual"
2012-04-20,1521577.87,"Actual"
2012-04-27,1468928.37,"Actual"
2012-05-04,1684519.99,"Actual"
2012-05-11,1611096.05,"Actual"
2012-05-18,1595901.87,"Actual"
2012-05-25,1555444.55,"Actual"
2012-06-01,1624477.58,"Actual"
2012-06-08,1697230.96,"Actual"
2012-06-15,1630607,"Actual"
2012-06-22,1527845.81,"Actual"
2012-06-29,1540421.49,"Actual"
2012-07-06,1769854.16,"Actual"
2012-07-13,1527014.04,"Actual"
2012-07-20,1497954.76,"Actual"
2012-07-27,1439123.71,"Actual"
2012-08-03,1631135.79,"Actual"
2012-08-10,1592409.97,"Actual"
2012-08-17,1597868.05,"Actual"
2012-08-24,1494122.38,"Actual"
2012-08-31,1582083.4,"Actual"
2012-09-07,1661767.33,"Actual"
2012-09-14,1517428.87,"Actual"
2012-09-21,1506126.06,"Actual"
2012-09-28,1437059.26,"Actual"
2012-10-05,1670785.97,"Actual"
2012-10-12,1573072.81,"Actual"
2012-10-19,1508068.77,"Actual"
2012-10-26,1493659.74,"Actual"
2010-02-05,2136989.46,"Actual"
2010-02-12,2137809.5,"Actual"
2010-02-19,2124451.54,"Actual"
2010-02-26,1865097.27,"Actual"
2010-03-05,1991013.13,"Actual"
2010-03-12,1990483.78,"Actual"
2010-03-19,1946070.88,"Actual"
2010-03-26,1750197.81,"Actual"
2010-04-02,2066187.72,"Actual"
2010-04-09,1954689.21,"Actual"
2010-04-16,1874957.94,"Actual"
2010-04-23,1821990.93,"Actual"
2010-04-30,1802450.29,"Actual"
2010-05-07,2042581.71,"Actual"
2010-05-14,1880752.36,"Actual"
2010-05-21,1896937.1,"Actual"
2010-05-28,1957113.89,"Actual"
2010-06-04,2102539.93,"Actual"
2010-06-11,2025538.76,"Actual"
2010-06-18,2001636.96,"Actual"
2010-06-25,1939927.09,"Actual"
2010-07-02,2003940.64,"Actual"
2010-07-09,1880902.62,"Actual"
2010-07-16,1845879.79,"Actual"
2010-07-23,1781717.71,"Actual"
2010-07-30,1804246.16,"Actual"
2010-08-06,1991909.98,"Actual"
2010-08-13,1895601.05,"Actual"
2010-08-20,1964335.23,"Actual"
2010-08-27,1863840.49,"Actual"
2010-09-03,1904608.09,"Actual"
2010-09-10,1839128.83,"Actual"
2010-09-17,1793903.6,"Actual"
2010-09-24,1724557.22,"Actual"
2010-10-01,1827440.43,"Actual"
2010-10-08,1849921.44,"Actual"
2010-10-15,1794355.49,"Actual"
2010-10-22,1737947.64,"Actual"
2010-10-29,1802755.11,"Actual"
2010-11-05,1939061.41,"Actual"
2010-11-12,1916812.74,"Actual"
2010-11-19,1956739.17,"Actual"
2010-11-26,2658725.29,"Actual"
2010-12-03,2015781.27,"Actual"
2010-12-10,2378726.55,"Actual"
2010-12-17,2609166.75,"Actual"
2010-12-31,1750434.55,"Actual"
2011-01-07,1758050.79,"Actual"
2011-01-14,1744193.58,"Actual"
2011-01-21,1751384.9,"Actual"
